780,186
803,188
828,189
852,190
878,192
902,192
925,194
951,193
976,192
998,191
1016,191
1038,188
1071,184
1097,181
1122,176
1142,173
1168,167
1191,159
1214,151
1235,144
1255,143
1272,151
1287,165
1311,172
1327,178
1343,185
1357,190
1376,194
1392,199
1409,206
1429,213
1451,220
1469,227
1487,234
1503,240
1520,246
1539,249
1556,255
1571,259
1586,261
1604,264
1615,269
1637,257
1639,249
1631,243
1618,243
1613,238
1607,234
1606,224
1601,213
1595,192
1586,173
1578,153
1572,135
1569,136
1577,132
1581,129
1588,133
1593,135
1599,127
1596,147
1605,143
1612,138
1618,130
1619,129
1624,137
1621,139
1620,141
1626,152
1632,169
1635,181
1640,198
1644,218
1643,238
1641,265
1640,289
1639,313
1638,337
1637,364
1635,388
1634,412
1633,432
1630,457
1628,477
1625,502
1621,522
1617,538
1610,561
1605,577
1594,602
1582,626
1571,646
1562,666
1550,690
1540,702
1527,725
1515,746
1504,770
1493,792
1483,816
1477,835
1469,862
1460,883
1452,902
1440,923
1439,924
1434,927
1437,925
1439,915
1439,931
1437,939
1437,931
1443,934
1447,939
1453,944
1456,936
1456,938
1468,940
1475,944
1489,948
1496,942
1508,935
1522,933
1541,929
1560,921
1576,914
1592,907
1607,897
1623,887
1638,877
1649,870
1662,845
1652,841
1641,833
1630,818
1624,808
1618,795
1615,783
1610,772
1601,754
1593,740
1581,721
1573,707
1561,690
1549,676
1537,661
1522,644
1511,633
1491,612
1473,597
1460,583
1440,563
1427,547
1413,529
1399,517
1382,498
1367,481
1354,468
1338,448
1322,431
1305,414
1287,397
1278,386
1265,371
1251,356
1240,345
1227,331
1213,316
1199,302
1183,287
1169,275
1152,261
1131,243
1117,230
1101,216
1082,203
1065,191
1046,177
1024,163
1013,154
997,144
969,141
958,145
951,149
934,157
922,161
909,165
890,173
872,182
856,191
837,201
819,214
799,230
783,244
763,262
751,277
736,299
726,314
714,332
704,351
692,372
683,392
674,414
665,436
656,454
647,474
637,494
627,512
618,529
609,546
592,569
582,584
573,595
556,611
540,624
525,639
509,653
496,665
480,677
465,690
443,708
427,716
404,729
384,739
366,747
349,751
329,755
317,758
295,759
295,765
285,767
297,756
305,741
318,727
328,723
330,708
340,694
358,680
375,669
395,652
414,640
433,630
453,622
478,609
501,597
520,591
551,583
579,572
602,565
626,557
649,550
670,544
692,534
715,526
738,519
762,509
782,499
805,487
825,473
844,458
862,445
879,433
895,420
907,407
920,390
935,372
948,351
961,330
970,314
978,289
984,274
988,253
990,235
991,216
993,194
995,174
