1570,374
1561,353
1550,332
1539,313
1525,291
1515,276
1500,262
1489,251
1471,239
1455,228
1435,219
1416,211
1399,206
1377,201
1356,197
1335,196
1310,193
1288,191
1269,189
1248,187
1227,185
1211,184
1189,180
1171,178
1151,176
1128,170
1109,167
1088,165
1068,163
1051,162
1034,161
1014,162
999,161
984,162
957,164
934,165
913,165
897,167
874,170
855,172
837,173
817,175
793,180
780,182
755,191
734,199
710,211
686,224
667,235
645,249
629,260
610,273
588,286
572,299
557,309
537,321
522,334
506,347
488,364
471,381
